categories,channel_id,crawl_date,description,dislike_count,display_id,duration,like_count,tags,title,upload_date,view_count
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,52:01.8,"Serenity has a new name!!

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97
Cynthia's instagram- @CynthiaJWall",50,4hooS_sMSvE,825,3467,"new name,crazy middles,my new name is,picked her name,pick a name,large family,silly,funny video,video,silly video,big family,i picked a new name,love your name,cute name,awesome name,great family,awesome family vloggers,family vloggers,fun family",I HAVE A NEW NAME!!!,08/02/2017 0:00,279416
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:17.7,"It takes a lot of tacos to feed us!

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",19,MaxmDUtCGPw,648,1640,"Tacos,jack in the box,jack in the box tacos,new shoes,ear doctor,lots of tacos,eating out,deaf,family vlog,shoes,nike shoes,old shoes,crazy middles,funny video,vlogs,family,family first,love",44 Tacos!,30/01/2017 0:00,122404
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:18.3,"My life as Landon

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",9,WQlAZiXvegg,377,1016,"my life,crazy middles,life story,foster care,adoption from foster care,adoption story,adoption,story about his life,life lessons,soccer,awards,life,funny,awesome video,video,family vlogs,vlogs,family story,family,school,funny family,family fun,my life as,favorite movie",MY LIFE AS LANDON!,28/01/2017 0:00,37740
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:20.5,"My life as Jacob

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",8,P7G-cchXRQA,325,1426,"my life,crazy middles,life story,foster care,adoption from foster care,adoption story,adoption,story about his life,life lessons,soccer,chess,chess club,life,funny,awesome video,video,family vloggers,vloggers,family story,family,trampoline,school,elementary school,red hair,funny family,family fun",MY LIFE AS JACOB!,21/01/2017 0:00,62705
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:22.0,"The kids had fun camping indoors.

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",7,1_YldNX92pY,727,990,"indoor camping,camping,tents,campfire,smores,campfire story,fire,fireplace,peacocks,family fun,family videos,funny videos,crazy family,family vloggers,crazy middles,fun,funny",INDOOR CAMPING,16/01/2017 0:00,37555
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:22.6,"Cynthia's story.

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",22,cNTqtM9m560,240,3443,"adoption story,adoption,adoption from foster care,life story,foster care story,foster care,story,overcoming difficulties,family,adoptive family,adoptive family story,life,crazy middles,i am cynthia",I AM CYNTHIA,14/01/2017 0:00,115052
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:25.0,"Lacey talks about her favorite places, things, and does a bedroom tour! Her parents talk about how she joined the family!

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",22,TqrhFvTn-uQ,478,2369,"life update,life updates,favorite,favorite things,crazy middles,lacey,my life as,room tour,room,bedroom tour,jamba juice,forever 21,mexican food,favorite color,large family,family vloggers,foster care,adoption",MY LIFE AS LACEY! (Bedroom tour),07/01/2017 0:00,142492
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:26.7,We have really added to our family in 2016.  Here is an update for our family in 2017!,58,K1Dl-1iCRZE,683,3742,"meet our family,family,crazy middles,fun family,our family,how many kids do the crazy middles have,lots of kids,large family,2017,crazy family,family love,adoption,adopting new kids,foster care,adopting out of foster care,funny family,family vloggers",Meet our family 2017!,01/01/2017 0:00,201609
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:26.1,"We are so happy! Gianna found her new name!

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥
Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles
Lacey's instagram- @laceynwall
Weston's instagram- @the.flash.98
Destiny's instagram- @des_tiny97",23,u88l--p5Y44,372,1788,"new name,crazy middles,my new name is,picked her name,pick a name,large family,silly,funny video,video,silly video,big family,i picked a new name,love your name,cute name,awesome name,great family,awesome family vloggers,family vloggers,fun family",MY NEW NAME IS.........,04/01/2017 0:00,128556
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:30.7,"Adoption day! We are so excited to have four more boys added to our family!

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles",25,v-b_zjK-e5M,191,3135,"adoption,adoption day,adopting out of foster care,foster care,foster care adoption,best adoption video,adoption video,adopting,adoption surprise,best adoption day,adoption story,adoption songs,adoption story 2016,adoption prank,adoption date",ADOPTION DAY!,19/12/2016 0:00,161642
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:35.3,We are so excited to be adding 2 more little ones to our family!!,41,_w4fa-Ke7oA,574,3391,"2 more adoptions,crazy middles,adoption,adoption surprise,adopting a little one,adopting through foster care,foster care,adoption foster care,adoption announcement,surprise,great day,telling kids about the adoption,large foster family,big family,funny,crazy,loving,lots of kids,family vloggers",2 MORE ADOPTIONS!,22/11/2016 0:00,211400
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:33.5,Lacey and Destiny get their makeup done by Landon and Jacob!,1,8BbWL2eiQS0,540,176,"my brother does my makeup challenge,crazy middles,makeup challenge,make up challenge,fun with makeup,challenge,do my makeup,brother,crazy makeup challenge,beautiful makeup,makeup,sibling tag,sibling challenge,funny family,vlogger,family vloggers,family,funny,crazy",MY BROTHER DOES MY MAKEUP CHALLENGE!,08/12/2016 0:00,4895
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:42.5,We are so excited to have a new dog! Well may be not Jared.,4,wgnAtj6XKXU,489,206,"We got a new dog,Crazy middles,new dog,dog surprise,cute dog,twerking,wet suite,big family,large family,dog present,funny family,family vlogs,lol,funny",WE GOT A NEW DOG!,27/08/2016 0:00,6275
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:40.8,"IT'S JACOBS BIRTHDAY!
He is turned 9 yrs old.",6,9MD9jiuxbx4,409,435,"ITS JACOBS birthday,crazy middles,birthday fun,walmart,shopping at walmart,shopping,starwars,starwars swords,crazy,birthday,birthday cake,lol,funny,big family,silly family,large family",IT'S JACOBS BIRTHDAY!,26/09/2016 0:00,22735
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:42.0,Last time we can swim this year. The water is getting too cold.,0,hb2wMnz7NJM,352,161,"Last swim,crazy middles,swimming,fun swim,funny swimming,funny kids,love to swim,crazy kids,large family,silly family,family vloggers,funny vlog,funny video,pushing,lol,funny,bloopers",LAST SWIM!,02/09/2016 0:00,6024
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:41.4,Hiking Surprise! We surprised the kids with an early hiking trip before church!,7,BlMdmU36GRE,749,843,"Hiking surprise,crazy middles,hiking,kids hiking,trail hiking,kid surprise,funny surprise,hiking up a mountain,beautiful view,surprise landing,fun surprise,lake,family vloggers,funny family,large family,hiking for fun,ducks,being scared",HIKING SURPRISE!,18/09/2016 0:00,45102
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:43.7,Lizzy had a crazy hair day at school. We do a look back on what our dog looked like when we got her.,1,PhiGHprRk0g,351,257,"crazy hair,crazy middles,afro circus,dog,cute dog,big ears,silly kids,big family,hair secrets,family,large family,crazy dad,high school",AFRO CIRCUS!,18/08/2016 0:00,9638
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:44.9,"How well do we know our kids?  If we can't guess the answer to their question right, then they get to smash whip cream or and egg on our head!
Missing Pieces http://www.youtube.com/watch?v=G8V0uF6nLO8",2,OpbtZLZWdbE,895,263,"The whipped cream challege,crazy middles,whipped cream,challenge,questions challenge,how well do we know our kids,big fun family,family games,questions and answers,whipped cream in face,fun game,hard challenges,large family,family vloggers,vlog,family channel",THE WHIPPED CREAM CHALLENGE!,16/04/2016 0:00,8929
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:45.4,Hayden chooses his new name! We can't wait to adopt him! Landon and him just joined Cub Scouts and they love it!,4,bD7_AqRuiGg,519,331,"CRAZY MIDDLES,quess what my new name is,adoption,cub scouts,derby racing,mc donalds,ice cream,fun,big family,large family,boy scouts,funny,foster care,adoption story,family vloggers,loving family,mormon family",GUESS WHAT MY NEW NAME IS?,14/04/2016 0:00,14186
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:47.1,Kids play truth or dare! It's funny to see how they do the dares! Poor Cody had a lot to wash off!,10,Cld2_hCWoh0,893,782,"truth or dare,crazy middles,truth or dare challenge,funny challenge,silly,funny,truth or dare crazy,kids being funny,big family,familyfun,large family,family vloggers,crazy,middles,stupid kids,lol,games",TRUTH OR DARE CHALLENGE!,24/02/2016 0:00,32972
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:47.6,Kids did some dog dancing and had fun getting ready for the Grammy's award show!,1,k_S1_SC2OcI,376,118,"dog dancing,crazy middles,grammys 2016,grammy party,grammys,crazy in walmart,walmart,funny kids,crazy,fun family,large family,big family,family vloggers,familyfun,lots of love,what the heck",DOG DANCING?,15/02/2016 0:00,2528
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:48.2,"BAD BEHAVIOR!
Kylie and Marc came over and make the kids crazy!",3,6RM9hBisB1Y,488,482,"bad behavior,crazy middles,crazy kids,dog attaches,kids attach,funny family,family vloggers,crazy,one armed push ups,push ups,love,familyfun,funny,funny kids,behavior,kids behavior,kid gets yelled at",BAD BEHAVIOR!,13/02/2016 0:00,20275
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:49.4,We got another foster kid! We are so excited to have another little one! Lacey is so silly and almost didn't make it!,249,s-mnZkebBIk,539,2894,"pee yourself,pee,crazy middles,funny family,don't pee yourself,trampoline,big family,crazy kids,crazy,funny,pee your pants,doing dishes,chores,foster care,foster kids,foster family,new foster kid,loving family",DON'T PEE YOURSELF!,02/02/2016 0:00,516264
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:51.2,Cody is sick and it's Destiny's birthday!!,4,TD_bn93l86Y,617,358,"HAPPY BIRTHDAY,birthday,party,crazy middles,family fun,funny,big family,loving family,shaytards,crazy,lol,homework,hate homework,loving,foster care,adoption,foster family,good memories,tattoo arms,fighting",DESTINY'S BIRTHDAY!,13/01/2016 0:00,11794
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:51.8,"DON'T CRY LANDON!
Landon was sad because he didn't get any ice cream.",7,YYn72XZns2M,513,542,"CRYING,DON'T CRY,CRAZY MIDDLES,ICE CREAM,FAMILY FUN,LARGE FAMILY,SHUTTLE BUS,PLAYING GAMES,LAUGHING,LOVE,SAD,LOL,laughing,huge family",DON'T CRY LANDON!,05/01/2016 0:00,27150
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:50.0,"Lizzy got a new haircut! We have been really busy, we just took in a two year old.  We get her four year old brother later this week! Can't wait!!",5,3j-GmrHt9r8,333,305,"hair cut,hair,silly,funny,weird,crazy,random,strange,stupidity,odd,hilarious,singing,socks,shaytards sock song,shaytards,crazy middles",NEW HAIRCUT!,27/01/2016 0:00,13843
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:52.3,"Happy New Year!!!!
Lacey is obsessed with gummy worms. Jared shoots a cup with his potato gun and hits a car!",5,b29FC6tJlt4,857,392,"obsessed with gummy worms,gummy worms,sour gummy worms,crazy middles,funny,family vlog,new years,worms,happy new year,new year resolutions,new years goals,goals,obsessed,crazy,middles,shaytards,big family",OBSESSED WITH GUMMY WORMS!,31/12/2015 0:00,17579
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:54.0,"Kids had fun giving each other silly gifts! This one is a funny one!
Click Here To Join The Family-
https://www.youtube.com/crazymiddles",4,klsC9ye_CSQ,377,284,"Crazy Middles,12 days of christmas,funny,christmas,crazy gifts,gifts,gags,pranks,silly,silly christmas gifts",12 DAYS OF CHRISTMAS!,22/12/2015 0:00,10510
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:55.1,Cody and Micheal were best friends in school before they became brothers.,10,_KO4-XtEfPE,401,1662,"best friends,crazy middles,friends,brothers,adoption,Forever,foster care,close siblings,family,best,best friends to brothers",BEST FRIENDS TO BROTHERS!,15/12/2015 0:00,64358
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:55.6,Destiny fell off of a hayride! She had to go to the hospital in her first and hopefully last ambulance ride.,25,eHL49VZ68kw,415,1842,"Lacey got hurt,got hurt,hurt,crazy middles,ambulance,ambulance responding,crazy,head injury,Pain,emergency,need help,hayride,funny,Ouch,Help,Stunt",DESTINY GOT HURT!,10/12/2015 0:00,139609
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,52:00.7,"IT'S TOO NOISY!
With this many kids, it can get really loud sometimes!!
â™¥FOLLOW US ON SOCIAL MEDIAâ™¥

For new episodes every week, Subscribe here! https://www.youtube.com/channel/UCzVxzz60KHq5Bgqf1zqoocg?sub_confirmation=1

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles

Periscope! Crazy Middles

â™¥We love fan mailâ™¥
Crazy Middles
2036 N. Gilbert Rd.
Ste. 2-208
Mesa, AZ 85203",1,hp-ABKuZkVo,477,213,"it's too noisy,crash,family vlogs,scooter,scooter fail,homework,quiet,Noise,puppy,puppy in a jacket,dog,silly,funny,Weird,big family,Crazy,Random,Strange,Video Blog (Website Category),New,Dogs",IT'S TOO NOISY!,05/11/2015 0:00,6533
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,52:00.2,"WATER WAR CHALLENGE!
Kids had fun playing the water war challenge!
Click Here To Join The Family-
https://www.youtube.com/crazymiddles

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles",5,ohKWSPp1N3I,473,265,"water wars,water war challenge,crazy middles,water fight,cup of water,Water Conflict,war,water,cheater,card game,hose fight,big family,fun card game,family vloggers,wet,funny family,Video Blog (Website Category),Family",WATER WARS!,10/11/2015 0:00,17937
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:59.5,"GUESS WHAT WE BOUGHT??
We bought something our family has needed for a while!! Lacey did a great job in her school play as well!!!",3,#NAME?,436,292,"Guess what we bought,we bought something,crazy middles,shuttle bus,bus,school play,big family,guess what I bought,big bus,excited,fun,fun family,Ride,Fun (Composer),silly,close family,mixed family,Funny,Play,Public Transport (Industry),Random,Weird",GUESS WHAT WE BOUGHT??,12/11/2015 0:00,9723
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,52:01.2,"BURPING CONTEST!

â™¥FOLLOW US ON SOCIAL MEDIAâ™¥

For new episodes every week, Subscribe here! https://www.youtube.com/channel/UCzVxzz60KHq5Bgqf1zqoocg?sub_confirmation=1

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles

Periscope! Crazy Middles

â™¥We love fan mailâ™¥
Crazy Middles
2036 N. Gilbert Rd.
Ste. 2-208
Mesa, AZ 85203",18,TPwN7Xvgjfg,813,272,"Burping,burping contest,crazy middles,silly kids,family,large family,big family,Kids (Film),big burp,farting,little puppy,gross,Contest,Funny,Puppy (Animal),family vlogs,funny family,gross burping,Winner,Video Blog (Website Category),Entry,Competition,Flatulence (Symptom)",BURPING CONTEST!,03/11/2015 0:00,22498
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,52:02.9,"WE EXPLAIN IT ALL!
We explain our family and who is bio, adopted,or is going to be adopted!
â™¥FOLLOW US ON SOCIAL MEDIAâ™¥

For new episodes every week, Subscribe here! https://www.youtube.com/channel/UCzVxzz60KHq5Bgqf1zqoocg?sub_confirmation=1

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles

Periscope! Crazy Middles

â™¥We love fan mailâ™¥
Crazy Middles
2036 N. Gilbert Rd.
Ste. 2-208
Mesa, AZ 85203",25,3qzWZKf1Xsk,534,2050,"we explain it all,crazy middles,family dynamics,big family,fun family,family vlogs,Video Blog (Website Category),funny,amazing,love,Cool,dogs,cute puppy,Cute,Puppy (Animal),Dog,funny family,Family,Chihuahua,Friends,Playing,Fun",WE EXPLAIN IT ALL!,20/10/2015 0:00,156242
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:18.7,"Birthday fun!
Kids had fun playing at the park with a homemade slip and slide on a hill.
â™¥FOLLOW US ON SOCIAL MEDIAâ™¥

For new episodes every week, Subscribe here! https://www.youtube.com/channel/UCzVxzz60KHq5Bgqf1zqoocg?sub_confirmation=1

Follow us on Twitter! http://twitter.com/CrazyMiddles

Like us on Facebook! http://fb.com/CrazyMiddles

Instagram! http://instagr.am/CrazyMiddles

Periscope! Crazy Middles

â™¥We love fan mailâ™¥
Crazy Middles
2036 N. Gilbert Rd.
Ste. 2-208
Mesa, AZ 85203",6,X7kh5jT2FYI,603,711,"birthday fun,crazy middles,birthday,slip and slide,Party (Literature Subject),funny,comedy,fun family,candles,cake,fun,lol,Crazy,Haha,Cool,Celebration,Surprise,Happy,Laugh,Happy Birthday,Random,Lol Funny",BIRTHDAY FUN!,06/10/2015 0:00,35913
People & Blogs,UCzVxzz60KHq5Bgqf1zqoocg,51:17.6,MOM IS HAVING A BABY!,18,M-uQBP9Em-s,460,751,"mom is having a baby,baby,baby puppy,puppy,new puppy,crazy middles,Baby (Play),family fun,Dog,Family,Fun,Cute,Dogs,Laughing,Funny,Cuteness (Website Category),Having,family vloggers,Video Blog (Website Category)",MOM IS HAVING A BABY!,13/10/2015 0:00,52069
